cat,name,cal,p,c,fat,fiber,sugar,sodium,serv,note
Drinks,Water,0,0,0,0,0,0,0,100,
Drinks,Sparkling Water Unsweetened,0,0,0,0,0,0,0,100,Check sodium if mineral water.
Drinks,Club Soda,0,0,0,0,0,0,21,100,Sodium varies by brand.
Drinks,Seltzer Water,0,0,0,0,0,0,0,100,
Drinks,Diet Tonic Water,2,0,0.5,0,0,0,7,100,Brand-specific estimate.
Drinks,Tonic Water Regular,34,0,8.8,0,0,8.8,12,100,Brand-specific estimate.
Drinks,Apple Juice,46,0.1,11.3,0.1,0.2,9.6,4,100,Unsweetened/apple juice generic per 100 ml estimate.
Drinks,Orange Juice,45,0.7,10.4,0.2,0.2,8.4,1,100,Generic orange juice per 100 ml estimate.
Drinks,Grape Juice,60,0.4,14.8,0.1,0.1,14.2,5,100,
Drinks,Cranberry Juice Cocktail,46,0,12.2,0,0,11.9,2,100,Cocktail is usually sweetened; 100% cranberry is different.
Drinks,Pineapple Juice,53,0.4,12.9,0.1,0.2,10,2,100,
Drinks,Grapefruit Juice,39,0.5,9.2,0.1,0.1,8.1,1,100,
Drinks,Pomegranate Juice,54,0.2,13.1,0.3,0.1,12.6,9,100,
Drinks,Lemonade Regular,40,0,10.4,0,0,9.9,3,100,Recipe/brand-dependent.
Drinks,Lemonade Diet,2,0,0.5,0,0,0.2,4,100,Brand-specific estimate.
Drinks,Coke Zero,0,0,0,0,0,0,5,100,Brand-specific; sodium/caffeine varies by serving.
Drinks,Diet Coke,1,0,0,0,0,0,6,100,Brand-specific; sodium/caffeine varies by serving.
Drinks,Coca-Cola Classic,42,0,10.6,0,0,10.6,4,100,Regular soda generic per 100 ml.
Drinks,Pepsi Regular,43,0,11,0,0,11,3,100,Regular soda generic per 100 ml.
Drinks,Pepsi Zero Sugar,0,0,0,0,0,0,5,100,Brand-specific estimate.
Drinks,Sprite Regular,39,0,10.1,0,0,10.1,7,100,
Drinks,Sprite Zero Sugar,0,0,0,0,0,0,7,100,Brand-specific estimate.
Drinks,Dr Pepper Regular,42,0,11.0,0,0,11,5,100,
Drinks,Dr Pepper Zero Sugar,0,0,0,0,0,0,5,100,Brand-specific estimate.
Drinks,Mountain Dew Regular,46,0,12.3,0,0,12.3,5,100,
Drinks,Mountain Dew Zero Sugar,0,0,0,0,0,0,5,100,Brand-specific estimate.
Drinks,Ginger Ale Regular,34,0,8.9,0,0,8.9,4,100,
Drinks,Root Beer Regular,41,0,10.6,0,0,10.6,5,100,
Drinks,Diet Root Beer,0,0,0,0,0,0,5,100,Brand-specific estimate.
Drinks,Gatorade Regular,24,0,6.0,0,0,5.8,45,100,Sports drink; electrolyte levels vary by product.
Drinks,Gatorade Zero,1,0,0.2,0,0,0,45,100,Sports drink; electrolyte levels vary by product.
Drinks,Powerade Regular,23,0,6,0,0,5.8,39,100,Sports drink; electrolyte levels vary by product.
Drinks,Powerade Zero,1,0,0.2,0,0,0,39,100,Sports drink; electrolyte levels vary by product.
Drinks,Pedialyte Classic,10,0,2.5,0,0,2.4,103,100,Electrolyte drink; product varies.
Drinks,Coconut Water Unsweetened,19,0.7,3.7,0.2,1.1,2.6,105,100,Brands vary; potassium not tracked in app.
Drinks,Iced Tea Sweetened,36,0,9.1,0,0,8.7,3,100,Brand/recipe-dependent.
Drinks,Iced Tea Unsweetened,1,0,0.2,0,0,0,2,100,
Drinks,Green Tea Unsweetened,1,0,0,0,0,0,1,100,
